breed_idx,breed,support,correct,errors,accuracy
119,wire-haired fox terrier,24,16,8,0.6666666666666666
9,Border collie,22,15,7,0.6818181818181818
24,Eskimo dog,22,16,6,0.7272727272727273
65,Staffordshire bullterrier,23,17,6,0.7391304347826086
104,miniature poodle,23,17,6,0.7391304347826086
114,standard schnauzer,23,17,6,0.7391304347826086
15,Cardigan,23,18,5,0.782608695652174
89,collie,23,18,5,0.782608695652174
21,English setter,24,19,5,0.7916666666666666
64,Siberian husky,29,23,6,0.7931034482758621
